1089243,没有,小说,时代,故事,爱情,觉得,喜欢,文字,时间,解构,清扬,改变,无法,起来,看到,破鞋,政治,革命,时候,北京
2339950,喜欢,青春,文字,没有,坟墓,堇年,时候,被窝,觉得,触动,看来,感觉,忧伤,生活,空洞,文章,适合,文笔,故事,实在
1212893,喜欢,小说,先生,觉得,有点,双儿,历史,人物,情节,没有,江湖,中国,世界,老金,故事,影响,老爷子,图书室,封笔,皇帝
1006004,喜欢,觉得,时候,小说,故事,有点,感觉,女孩,双生,知道,生活,看完,纪言,文字,生命,不到,双重,作品,青春,看不懂
4011440,故事,喜欢,作者,没有,小说,封面,翻译,口味,阅读,文字,无法,制造,青春,觉得,像是,时候,好看,不会,蝴蝶,暴力
2382705,落落,喜欢,文字,散文,看到,分享,记得,世界,可惜,青春,时光,觉得,孩子,上海,记忆,魔法师,共鸣,生活,散文集,情绪
1292416,没有,气味,味道,电影,故事,香水,小说,嗅觉,文字,世界,觉得,追求,出来,好看,无法,喜欢,香味,作者,知道,结尾
2143732,风筝,觉得,女人,故事,没有,希望,女性,生活,命运,战争,时候,无法,作者,好看,看到,世界,小说,太阳,宗教,千阳
1205054,雨果,故事,觉得,时候,社会,小说,电影,人物,法国,小时候,喜欢,革命,经典,看完,能够,没有,情节,知道,震撼,名著
1016523,喜欢,时候,文字,看过,觉得,爱情,白棉,城市,告别,感觉,生活,故事,名字,情绪,女生,笔触,有点,记得,无法,不会
5502995,没有,结局,故事,世界,青豆,感觉,喜欢,还有,结尾,知道,村上春树,月亮,觉得,看到,有点,男女,东西,小说,人物,跑步
2209098,青春,小说,电影,故事,没有,喜欢,狗血,结局,时候,觉得,文笔,毕业,男人,看到,东西,职场,不会,用来,情感,不能
1020459,大学,青春,小说,故事,喜欢,江南,人物,没有,电影,时候,校园,有点,毕业,名字,时光,同学,生活,看到,读完,错过
1915536,喜欢,落落,尘埃,青春,结局,没有,时候,小说,友情,觉得,感觉,故事,喜歡,表达,理解,落殿,需要,风格,兄弟,情节
1071241,喜欢,哈利,电影,时间,感觉,出现,好看,开始,觉得,没有,应该,故事,世界,魔法,情感,魔术,结局,教父,角色,看到
1084336,狐狸,玫瑰,觉得,喜欢,没有,世界,东西,大人,知道,童话,语言,时候,长大,玫瑰花,不会,才能,经典,无法,怀念,小时候
1029159,喜欢,时候,文字,未央,散文,爱情,觉得,生活,记得,没有,看过,故事,穿着,豆瓣,孩子,裙子,适合,女子,小说,作家
2298149,开始,觉得,盗墓,天宫,小哥,油瓶,看到,知道,胖子,云顶,空间,尸胎,出现,阴兵,青铜,好看,故事,精彩,时候,解释
1086249,爱情,小说,命运,上帝,喜欢,时候,神父,版本,看到,澳大利亚,胸膛,歌唱,女性,没有,东西,看过,人类,等待,记忆,玫瑰
3646172,东野,动机,恶意,故事,小说,人性,没有,杀人,觉得,圭吾,时候,作者,推理,结局,开始,感觉,有点,凶手,知道,嫉妒
3616310,小说,没有,团圆,喜欢,觉得,女人,起来,有点,开始,故事,人物,作者,母亲,看到,读完,记忆,自传,人生,知道,时候
3394338,小说,讽刺,故事,看完,没有,情节,世界,杂文,作品,觉得,有点,现实,时候,看到,感觉,影射,火车,应该,生活,封面
1043815,老舍,社会,觉得,虎妞,时代,悲剧,没有,先生,生活,命运,个人,个人主义,人生,文字,小说,堕落,时候,经典,知道,底层
3426869,抄袭,喜欢,故事,情节,觉得,文笔,小说,大风,剧情,女主,作者,有点,开头,没有,文字,看过,桃花,看到,莫名,团子
2081876,阴谋论,金融,小说,货币,作者,美国,觉得,经济,没有,战争,需要,有点,财富,政治,故事,作为,观点,世界,中国,知道
1858513,天才,月亮,六便士,艺术,生活,没有,灵魂,小说,社会,喜欢,女人,描写,人物,故事,人生,不能,理想,人性,意义,知道
2062200,喜欢,青春,时候,小说,女孩,开始,文字,看过,觉得,没有,好像,抄袭,逆流,堕胎,生命,故事,落落,变成,读完,日本
1014278,女人,男人,喜欢,蚊子,没有,故事,振保,选择,不想,成为,比喻,经典,出来,娇蕊,女性,爱情,好像,玫瑰,生活,世界
