success_or_not,tar_m,place,identity,video,supp_1,supp_2,supp_3,supp_4,supp_5,supp_6,supp_7,supp_8,supp_9,supp_10,supp_11,supp_12,supp_13,supp_14,supp_15,supp_16,supp_17,supp_18,supp_19,supp_20,supp_21,supp_22,supp_23,supp_24,supp_25,supp_26,supp_27,supp_28,supp_29,supp_30,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11,rate_12,rate_13,rate_14,rate_15,rate_16,rate_17,rate_18,rate_19,rate_20,rate_21,rate_22,rate_23,rate_24,rate_25,rate_26,rate_27,rate_28,rate_29,rate_30,dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,dis_10,dis_11,dis_12,dis_13,dis_14,dis_15,dis_16,dis_17,dis_18,dis_19,dis_20,dis_21,dis_22,dis_23,dis_24,dis_25,dis_26,dis_27,dis_28,dis_29,dis_30,pro_1,pro_2,pro_3,pro_4,pro_5,pro_6,pro_7,pro_8,pro_9,pro_10,pro_11,pro_12,pro_13,pro_14,pro_15,pro_16,pro_17,pro_18,pro_19,pro_20,pro_21,pro_22,pro_23,pro_24,pro_25,pro_26,pro_27,pro_28,pro_29,pro_30,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,type
0,50000,650,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
1,35000,100,1,0,46,67,77,91,143,144,146,147,147,149,150,150,150,150,156,157,167,167,167,168,171,173,175,175,176,184,188,189,190,198,0.12,0.31,0.31,0.37,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.7,0.71,0.71,0.71,0.72,0.76,0.76,0.76,1.01,28,33,35,40,42,44,47,47,47,51,50,53,52,52,52,54,55,57,57,57,59,59,61,62,62,63,64,64,64,78,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,8,8,20,20,24,24,25,26,26,26,28,28,28,28,28,28,29,29,29,30,31,32,33,34,35,35,37,38,38,38,40,55,4
1,16666,430,1,0,0,0,1,53,172,201,215,218,218,220,227,237,241,246,253,254,255,257,258,258,264,266,272,275,276,277,279,283,285,286,0,0,0,0.29,1.24,1.51,1.93,1.94,1.94,1.95,1.97,2.11,2.13,2.15,2.17,2.29,2.29,2.42,2.43,2.43,2.56,2.56,2.58,2.59,2.59,2.6,2.61,2.62,2.63,2.75,1,11,15,18,24,29,33,36,36,38,38,39,42,45,47,47,47,49,49,50,52,52,53,54,54,54,56,61,61,61,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,8,14,17,18,19,20,23,23,25,26,26,26,28,28,30,30,32,34,34,37,37,38,40,42,44,44,46,46,46,1
0,250000,200,0,1,33,60,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,12,12,16,17,18,20,21,21,21,22,22,23,23,24,24,24,24,24,25,26,26,26,27,27,27,27,31,31,0
0,1000,210,1,0,2,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1,2000,210,0,0,18,22,29,31,33,33,38,48,54,61,66,70,71,74,82,90,97,100,101,106,111,119,133,145,149,158,159,165,166,169,0.47,0.64,1.15,1.24,1.41,1.41,1.59,2.32,2.7,2.79,3.24,3.52,3.61,3.79,4.43,4.99,5.46,5.54,5.63,5.87,6.24,6.87,7.98,8.17,9.52,9.68,9.89,10.11,11.45,11.56,12,12,14,16,18,22,29,38,39,40,42,43,44,46,47,50,55,58,58,58,60,60,63,66,67,68,69,70,71,72,2,3,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,11,12,13,14,15,9,10,12,14,15,15,16,18,19,22,25,25,25,30,34,37,38,39,39,40,42,42,42,42,43,44,45,46,47,48,6
0,20000,610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,30000,35,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2000,71,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,5000,71,1,0,5,16,16,16,16,16,16,17,18,19,29,30,31,31,31,33,34,34,34,34,34,35,35,35,35,35,36,49,49,49,0.11,0.48,0.48,0.48,0.48,0.48,0.48,0.5,0.53,0.55,0.65,0.66,0.67,0.67,0.67,0.69,0.71,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.74,1.01,1.01,1.01,1,4,4,4,5,6,7,7,7,7,8,8,8,9,9,9,10,10,10,10,10,10,10,12,12,12,13,14,14,14,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9,9,1
